,predictions
290,"(392, 561)"
291,"(392, 563)"
292,"(393, 564)"
293,"(394, 566)"
294,"(394, 567)"
295,"(395, 569)"
296,"(395, 570)"
297,"(395, 572)"
298,"(396, 573)"
299,"(396, 574)"
300,"(396, 576)"
301,"(396, 577)"
302,"(396, 578)"
303,"(396, 580)"
304,"(396, 580)"
305,"(397, 581)"
306,"(397, 583)"
307,"(397, 584)"
308,"(397, 585)"
309,"(398, 587)"
310,"(399, 589)"
311,"(399, 590)"
312,"(399, 590)"
313,"(399, 590)"
314,"(399, 591)"
315,"(400, 592)"
316,"(400, 594)"
317,"(399, 596)"
318,"(400, 597)"
319,"(401, 598)"
320,"(401, 599)"
321,"(401, 600)"
322,"(401, 601)"
323,"(402, 601)"
324,"(402, 602)"
325,"(402, 603)"
326,"(402, 603)"
327,"(402, 604)"
328,"(402, 605)"
329,"(403, 606)"
330,"(404, 607)"
331,"(404, 608)"
332,"(404, 608)"
333,"(404, 609)"
334,"(404, 610)"
335,"(404, 611)"
336,"(404, 611)"
337,"(404, 612)"
338,"(405, 612)"
339,"(404, 613)"
340,"(404, 614)"
341,"(405, 615)"
342,"(405, 615)"
343,"(405, 616)"
344,"(405, 617)"
345,"(405, 617)"
346,"(406, 618)"
347,"(405, 618)"
348,"(404, 619)"
349,"(404, 619)"
350,"(404, 620)"
351,"(405, 620)"
352,"(406, 621)"
353,"(406, 622)"
354,"(406, 622)"
355,"(406, 622)"
356,"(406, 622)"
357,"(405, 623)"
358,"(404, 623)"
359,"(406, 624)"
360,"(407, 624)"
361,"(407, 625)"
362,"(408, 625)"
363,"(403, 624)"
364,"(395, 622)"
365,"(388, 620)"
366,"(383, 618)"
367,"(380, 617)"
368,"(376, 616)"
369,"(371, 615)"
370,"(369, 615)"
371,"(366, 615)"
372,"(364, 615)"
373,"(362, 614)"
374,"(359, 614)"
375,"(357, 614)"
376,"(356, 614)"
377,"(354, 613)"
378,"(352, 613)"
379,"(350, 614)"
380,"(348, 615)"
381,"(347, 615)"
382,"(345, 616)"
383,"(343, 616)"
384,"(342, 615)"
385,"(340, 614)"
386,"(339, 614)"
387,"(337, 614)"
388,"(336, 614)"
389,"(335, 615)"
390,"(333, 616)"
391,"(332, 616)"
392,"(331, 616)"
393,"(330, 616)"
394,"(331, 619)"
395,"(334, 625)"
396,"(338, 629)"
397,"(341, 631)"
398,"(343, 633)"
399,"(345, 635)"
400,"(346, 637)"
401,"(347, 638)"
402,"(348, 639)"
403,"(350, 637)"
404,"(355, 633)"
405,"(360, 628)"
406,"(365, 624)"
407,"(368, 621)"
408,"(371, 619)"
409,"(376, 617)"
410,"(379, 617)"
411,"(383, 617)"
412,"(386, 617)"
413,"(389, 618)"
414,"(393, 618)"
415,"(396, 618)"
416,"(399, 619)"
417,"(403, 621)"
418,"(407, 622)"
419,"(410, 622)"
420,"(413, 623)"
421,"(415, 624)"
422,"(417, 625)"
423,"(420, 626)"
424,"(423, 626)"
425,"(426, 628)"
426,"(428, 630)"
427,"(430, 625)"
428,"(432, 616)"
429,"(434, 609)"
430,"(437, 603)"
431,"(441, 598)"
432,"(445, 594)"
433,"(449, 590)"
434,"(452, 586)"
435,"(456, 583)"
436,"(458, 580)"
437,"(462, 576)"
438,"(465, 574)"
439,"(467, 572)"
440,"(469, 569)"
441,"(472, 566)"
442,"(476, 565)"
443,"(481, 567)"
444,"(484, 574)"
445,"(485, 578)"
446,"(485, 581)"
447,"(484, 585)"
448,"(484, 588)"
449,"(484, 590)"
450,"(485, 592)"
451,"(486, 594)"
452,"(486, 595)"
453,"(487, 597)"
454,"(488, 599)"
455,"(489, 600)"
456,"(489, 602)"
457,"(490, 604)"
458,"(491, 607)"
459,"(493, 608)"
460,"(492, 609)"
461,"(492, 611)"
462,"(493, 612)"
463,"(494, 613)"
464,"(495, 614)"
465,"(496, 616)"
466,"(496, 617)"
467,"(496, 619)"
468,"(497, 620)"
469,"(497, 621)"
470,"(498, 622)"
471,"(498, 623)"
472,"(499, 623)"
473,"(499, 623)"
474,"(499, 624)"
475,"(500, 625)"
476,"(495, 625)"
477,"(490, 623)"
478,"(483, 618)"
479,"(477, 611)"
480,"(471, 607)"
481,"(466, 604)"
482,"(462, 603)"
483,"(458, 602)"
484,"(453, 604)"
485,"(449, 605)"
486,"(445, 605)"
487,"(440, 606)"
488,"(437, 608)"
489,"(434, 609)"
490,"(430, 610)"
491,"(427, 611)"
492,"(423, 613)"
493,"(419, 614)"
494,"(416, 615)"
495,"(413, 616)"
496,"(410, 615)"
497,"(407, 616)"
498,"(404, 617)"
499,"(402, 619)"
500,"(400, 620)"
501,"(397, 620)"
502,"(395, 620)"
503,"(392, 621)"
504,"(390, 622)"
505,"(386, 620)"
506,"(383, 614)"
507,"(377, 614)"
508,"(370, 614)"
509,"(363, 615)"
510,"(356, 616)"
511,"(348, 617)"
512,"(344, 618)"
513,"(336, 618)"
514,"(330, 619)"
515,"(325, 620)"
516,"(320, 622)"
517,"(314, 623)"
518,"(309, 623)"
519,"(305, 624)"
520,"(301, 625)"
521,"(296, 626)"
522,"(292, 627)"
523,"(288, 627)"
524,"(284, 628)"
525,"(280, 613)"
526,"(273, 608)"
527,"(266, 606)"
528,"(260, 604)"
529,"(255, 603)"
530,"(250, 602)"
531,"(246, 603)"
532,"(242, 603)"
533,"(238, 603)"
534,"(235, 602)"
535,"(232, 602)"
536,"(229, 603)"
537,"(225, 604)"
538,"(223, 604)"
539,"(221, 604)"
540,"(218, 604)"
541,"(215, 604)"
542,"(213, 605)"
543,"(211, 605)"
544,"(211, 609)"
545,"(211, 613)"
546,"(213, 613)"
547,"(214, 612)"
548,"(214, 610)"
549,"(214, 609)"
550,"(214, 609)"
551,"(213, 608)"
552,"(213, 608)"
553,"(213, 608)"
554,"(212, 608)"
